Cities,Latitudinal Coordinates,Temperature,Humidity,WindSpeed,Sky Condition,Cloud Percentage
kontagora,37.14,67.51,88,6.93,few clouds,20
kodinsk,40.6,44.53,100,9.17,light rain,1
grindavik,-6.22,70.68,94,2.12,light rain,53
teguise,14.9,77.49,81,6.99,clear sky,0
tadine,-8.15,83.48,74,5.45,light rain,100
ariquemes,-34.48,58.93,98,4.06,light rain,79
campbell river,5.28,87.37,66,5.82,broken clouds,75
pitmoaga,-46.43,48.27,38,12.08,broken clouds,65
pisco,65.58,31.95,73,14.84,few clouds,11
liku,5.56,82.83,76,8.26,light rain,86
rutul,-3.71,78.37,74,12.75,few clouds,12
caravelas,59.7,48.97,87,15.66,light intensity shower rain,75
namtsy,30.29,57.33,91,2.03,overcast clouds,100
new norfolk,38.42,72.64,15,6.35,clear sky,0
lagoa,28.02,85.62,42,4.59,clear sky,0
fortuna,29.28,62.53,38,6.32,clear sky,6
jacareacanga,34.7,69.4,32,3.7,clear sky,8
sao filipe,49.5,26.6,92,3.36,few clouds,20
buala,47.17,48.69,81,6.65,overcast clouds,100
rocha,64.84,31.24,86,9.17,overcast clouds,90
victoria,44.35,62.19,82,18.34,broken clouds,75
mar del plata,-0.92,75.24,90,2.9,light rain,40
lavrentiya,-20.63,65.37,76,1.73,overcast clouds,100
banda aceh,19.71,74.32,78,6.93,scattered clouds,40
vila velha,53.4,27.81,83,7.06,overcast clouds,92
nikolskoye,-6.44,68.07,83,16.48,clear sky,1
enshi,-41.87,41.0,100,9.17,shower rain,90
shache,46.21,46.53,74,5.69,broken clouds,81
mahendranagar,66.54,34.02,95,8.72,light snow,99
jumla,-20.3,89.71,39,5.11,scattered clouds,50
qingquan,-42.48,41.0,100,9.17,shower rain,90
fernie,8.0,84.0,79,5.01,moderate rain,100
marystown,43.26,58.3,71,5.82,light rain,90
fairbanks,43.41,48.76,87,4.7,clear sky,1
rodez,-27.8,84.0,34,11.73,clear sky,0
eskasem,69.38,27.95,61,5.77,broken clouds,75
padang,-16.48,75.56,75,16.95,clear sky,1
ponta do sol,47.55,60.66,93,10.29,scattered clouds,40
hilo,27.5,63.66,69,6.32,light rain,6
hinton,69.7,25.07,71,18.43,overcast clouds,92
acari,-45.58,39.2,69,2.24,clear sky,8
ancud,73.51,30.43,91,22.85,overcast clouds,98
saint-prosper,-3.17,74.34,51,14.53,broken clouds,60
salekhard,-32.79,65.48,57,5.03,broken clouds,81
morondava,77.48,20.41,73,10.2,overcast clouds,100
castro,60.35,32.07,40,5.97,few clouds,18
marawi,30.44,62.94,93,3.52,clear sky,1
hamilton,60.14,37.56,87,18.41,overcast clouds,100
north bend,63.44,42.71,70,6.28,overcast clouds,100
santiago del estero,59.79,48.87,93,3.36,shower rain,40
leningradskiy,-30.74,69.17,56,6.24,broken clouds,69
faanui,48.64,43.16,100,2.45,fog,40
ambon,-33.86,57.2,93,16.11,broken clouds,75
burica,56.73,43.27,42,1.01,broken clouds,81
mangan,36.72,52.41,93,7.8,clear sky,1
pevek,29.03,74.57,46,6.79,clear sky,0
krasnoselkup,20.71,82.0,74,13.86,light rain,7
coihaique,2.27,53.38,92,4.25,overcast clouds,87
dikson,23.52,85.06,46,2.92,clear sky,7
sola,-22.95,61.54,87,5.82,clear sky,0
alice,38.17,64.92,88,2.24,clear sky,0
qaanaaq,20.87,82.0,78,14.13,light rain,5
nizhneyansk,-15.43,74.03,68,4.21,light rain,41
vanavara,-26.98,78.46,59,7.91,clear sky,0
tallahassee,63.86,37.76,90,2.43,light rain,100
nanortalik,52.66,54.41,71,11.18,overcast clouds,100
vestmannaeyjar,69.49,25.18,80,13.01,light snow,100
gravdal,18.19,82.51,73,9.97,scattered clouds,29
port shepstone,37.91,65.89,25,5.34,clear sky,0
wanning,39.31,53.71,81,3.36,clear sky,1
hihifo,19.56,62.8,98,2.95,moderate rain,100
esperance,46.68,34.66,19,7.09,clear sky,2
oktyabrskoye,6.41,73.4,100,1.79,few clouds,20
barentsburg,-3.18,74.8,79,6.87,clear sky,0
chesapeake,10.3,75.04,83,6.9,overcast clouds,96
jalu,41.78,54.36,44,7.4,clear sky,4
santa cruz del sur,41.42,58.73,79,4.87,broken clouds,73
pital,51.72,27.45,47,6.51,broken clouds,66
khawhai,-25.24,102.2,6,19.46,clear sky,0
walvis bay,16.17,73.4,100,1.81,broken clouds,75
louisbourg,-33.53,70.0,81,5.01,light rain,62
belushya guba,-20.32,60.84,81,8.47,broken clouds,81
capaci,-20.21,78.91,61,12.75,broken clouds,75
celestun,-23.7,100.4,6,17.22,clear sky,0
maroantsetra,37.38,71.01,54,1.01,few clouds,16
san patricio,-28.55,58.77,76,8.16,clear sky,0
vuktyl,33.79,64.04,63,5.82,clear sky,1
istok,12.41,75.04,83,9.32,light rain,100
qabis,-3.28,73.31,81,7.02,broken clouds,62
talnakh,31.15,67.82,70,5.25,overcast clouds,99
les cayes,-16.82,71.19,55,7.16,broken clouds,78
kulob,13.93,90.57,39,1.76,few clouds,16
port elizabeth,36.72,62.01,87,4.7,clear sky,0
tuxpan,10.06,75.45,80,6.12,overcast clouds,93
dujuma,-35.12,64.94,37,14.99,overcast clouds,90
baruun-urt,78.22,23.0,79,2.24,broken clouds,75
bartica,12.87,80.73,54,5.16,broken clouds,52
buriti dos lopes,36.62,55.0,28,4.7,clear sky,1
birao,9.04,70.54,96,2.04,overcast clouds,100
erdaojiang,12.17,79.34,78,3.2,light rain,100
buqayq,34.85,56.93,100,3.07,clear sky,1
saldanha,60.4,46.4,93,4.7,light rain,94
babushkin,46.68,46.99,6,1.01,clear sky,0
yulara,13.08,82.08,78,13.18,light rain,41
laguna,68.75,25.02,71,10.94,overcast clouds,100
dolores,34.41,54.41,31,3.36,clear sky,1
zvishavane,56.36,21.97,41,6.04,broken clouds,63
quatre cocos,-4.97,79.68,83,15.3,light rain,24
alice springs,22.27,89.6,62,3.36,haze,75
binzhou,29.03,88.0,22,6.18,clear sky,0
oranjemund,-45.87,46.0,90,5.99,light rain,100
orange,39.75,49.12,62,3.81,clear sky,1
tari,48.17,49.37,87,8.05,few clouds,15
trairi,36.28,73.4,28,6.93,broken clouds,75
tasbuget,41.14,54.93,71,6.93,broken clouds,75
huilong,60.73,39.16,66,5.33,overcast clouds,99
karoi,-20.74,82.45,57,12.57,clear sky,0
edd,47.8,54.61,64,7.25,overcast clouds,100
pachino,-19.06,75.2,78,12.75,broken clouds,64
machiques,-51.55,28.78,92,7.27,light snow,61
tumannyy,-22.09,48.22,22,2.04,clear sky,0
wagga wagga,-8.74,70.5,78,4.93,overcast clouds,86
longyearbyen,-24.87,74.77,56,10.29,light rain,56
gashua,37.46,55.89,57,5.5,few clouds,20
pacific grove,-3.74,75.76,79,1.09,few clouds,24
guanare,-39.94,52.0,80,2.15,moderate rain,100
borama,30.82,72.86,100,1.96,light rain,1
corn island,-17.53,77.0,65,8.05,few clouds,20
greenville,-7.39,78.8,61,9.17,scattered clouds,40
brae,55.74,32.0,72,14.99,overcast clouds,90
saint-michel-des-saints,-10.46,81.72,70,4.28,broken clouds,78
tuy hoa,56.84,17.64,87,14.31,light snow,100
cherskiy,59.56,37.58,73,4.87,clear sky,6
isla vista,63.79,38.82,82,10.97,overcast clouds,100
taksimo,45.13,55.15,93,4.47,fog,40
micheweni,16.86,82.4,83,5.82,broken clouds,75
rairangpur,-36.55,64.6,42,6.93,light rain,14
korla,40.29,66.6,22,6.37,clear sky,1
dera bugti,38.18,49.55,87,13.87,light rain,90
saleaula,-31.43,57.38,93,12.75,shower rain,75
dunedin,11.28,82.11,85,13.36,overcast clouds,99
wilmington,-43.03,53.85,47,11.41,scattered clouds,40
balsa,61.68,33.21,38,3.38,clear sky,0
qazvin,12.18,72.68,90,8.73,broken clouds,75
westport,-46.13,46.0,84,8.01,light rain,100
strezhevoy,-35.36,55.08,67,12.75,overcast clouds,90
karratha,41.72,60.98,87,4.7,broken clouds,75
zhezkazgan,43.66,50.38,87,9.17,light rain,90
alofi,-17.73,77.0,65,8.05,few clouds,20
santa flavia,56.15,32.0,46,2.24,clear sky,0
tocopilla,43.13,55.47,93,16.11,moderate rain,90
lolua,23.65,83.93,48,3.96,clear sky,0
kamina,3.07,86.09,65,9.38,overcast clouds,100
bundaberg,33.19,60.51,82,5.57,clear sky,1
half moon bay,41.19,62.35,24,11.63,clear sky,0
anori,42.77,59.83,93,8.05,scattered clouds,40
waipawa,33.0,68.0,26,10.88,light rain,56
saraland,-20.34,78.91,61,12.75,broken clouds,75
pingyi,64.25,41.25,60,10.84,clear sky,8
tiarei,2.15,70.25,94,1.08,overcast clouds,100
mauriti,62.16,42.8,81,9.17,broken clouds,67
thompson,54.32,46.4,93,8.05,overcast clouds,90
kirakira,-20.31,91.4,49,16.11,clear sky,0
chulman,-7.23,79.41,44,6.23,few clouds,20
magadan,32.0,43.11,28,4.7,clear sky,1
muravlenko,-8.43,77.16,86,17.08,broken clouds,74
mormugao,17.01,84.2,66,4.7,few clouds,20
dzhiginka,49.76,33.35,86,9.17,light snow,75
acapulco,70.62,22.93,95,11.96,light snow,100
benalla,25.02,96.31,18,7.35,few clouds,12
tsihombe,50.68,49.91,92,7.57,light rain,87
yumen,-22.82,75.38,83,16.37,light rain,45
morehead,29.55,79.39,15,5.36,clear sky,0
bengkulu,36.62,80.6,42,10.29,clear sky,0
port macquarie,32.31,77.59,58,12.75,scattered clouds,44
bubaque,3.78,82.65,72,5.97,light rain,82
margate,53.7,43.56,45,2.9,clear sky,0
baykit,67.46,20.5,94,6.33,overcast clouds,97
auki,-34.58,57.38,67,12.75,overcast clouds,90
tuatapere,-2.08,77.25,69,1.53,light rain,56
ulladulla,-22.97,72.28,87,26.9,overcast clouds,100
areosa,47.96,52.93,44,7.87,broken clouds,52
portland,-13.19,87.04,44,7.29,scattered clouds,26
tautira,-19.28,64.9,66,7.78,overcast clouds,97
bratsk,66.83,36.25,67,16.1,broken clouds,84
woodstock,-2.9,55.4,82,2.24,few clouds,12
chandia,55.78,33.8,86,2.24,broken clouds,75
butaritari,-16.11,80.13,82,18.88,broken clouds,73
avera,67.55,31.3,86,9.63,overcast clouds,87
gazojak,-17.36,72.03,52,6.55,overcast clouds,96
muros,-11.26,62.53,78,2.68,scattered clouds,50
nanyang,24.09,86.0,27,8.05,clear sky,0
bambous virieux,65.28,32.0,97,6.93,overcast clouds,90
hofn,36.67,54.9,37,2.15,broken clouds,72
lisala,50.23,35.6,93,3.36,few clouds,20
vestmanna,-31.08,57.96,89,1.99,light rain,98
prince rupert,38.88,30.65,30,6.93,clear sky,1
port hedland,53.13,24.84,37,14.81,clear sky,0
urucui,40.53,31.28,44,4.7,clear sky,1
midland,20.89,76.37,69,14.99,clear sky,1
muncar,-11.71,36.91,75,9.8,clear sky,0
salalah,-16.52,75.56,75,16.95,clear sky,1
kenora,-21.64,73.29,83,17.73,few clouds,16
chokurdakh,-12.18,87.8,33,10.29,clear sky,2
umm lajj,-17.17,46.9,54,1.37,clear sky,0
severo-kurilsk,-14.66,66.74,72,7.9,overcast clouds,86
farafangana,3.98,67.14,99,3.12,light rain,98
nushki,56.24,40.01,34,10.12,clear sky,0
fethiye,55.21,33.8,86,2.24,broken clouds,75
juegang,50.7,46.4,100,3.36,overcast clouds,90
mahibadhoo,-28.95,64.74,59,9.17,overcast clouds,90
minusinsk,-45.87,48.2,45,12.75,broken clouds,78
srednekolymsk,25.29,91.99,67,3.36,few clouds,20
flinders,4.42,75.2,100,0.39,broken clouds,75
sungaipenuh,9.96,91.4,70,3.36,shower rain,75
arraial do cabo,43.74,51.75,90,14.0,moderate rain,100
ayagoz,45.63,50.34,66,3.36,scattered clouds,40
ambilobe,41.96,60.8,100,4.7,shower rain,90
mvuma,20.52,80.56,16,9.4,broken clouds,75
yar-sale,27.03,67.57,67,13.03,clear sky,0
cuenca,47.83,51.73,30,4.3,clear sky,0
spirit river,-9.17,71.22,98,2.11,scattered clouds,41
lakatoro,15.12,82.74,72,8.32,scattered clouds,34
komsomolskiy,60.82,41.0,60,9.17,broken clouds,75
chinhoyi,41.28,54.36,93,19.46,light rain,90
satipo,49.17,39.02,20,7.0,clear sky,0
aswan,-37.33,50.97,83,1.01,overcast clouds,92
norman wells,45.02,55.27,63,1.91,few clouds,13
salinas,29.72,75.24,57,8.77,overcast clouds,90
havre-saint-pierre,5.38,80.11,80,14.08,scattered clouds,33
kempsey,49.2,34.3,23,11.7,clear sky,0
hays,-13.46,71.94,63,11.55,scattered clouds,31
tokur,5.66,71.02,97,1.67,broken clouds,56
tooele,68.06,13.24,73,2.96,overcast clouds,100
kahului,17.37,85.87,79,3.36,scattered clouds,40
chicla,46.78,55.15,77,13.87,clear sky,1
vaitape,-42.77,57.63,45,13.58,broken clouds,65
sao joao da barra,18.9,86.83,40,3.67,overcast clouds,87
nhulunbuy,8.46,63.0,100,1.01,overcast clouds,100
tucuman,54.28,47.7,93,6.93,overcast clouds,100
menongue,-7.57,71.08,87,4.3,light rain,77
abong mbang,-31.54,66.52,35,8.71,clear sky,0
ilanskiy,33.42,77.59,57,16.11,light intensity shower rain,75
beaverlodge,54.78,37.4,100,2.24,overcast clouds,90
port hardy,63.75,33.39,69,11.41,light snow,75
codrington,39.62,46.72,100,3.13,clear sky,1
umzimvubu,-2.97,84.7,47,6.31,scattered clouds,39
comodoro rivadavia,9.27,71.17,97,4.19,light rain,100
doha,11.67,89.6,59,8.05,scattered clouds,40
attawapiskat,5.28,87.37,66,5.82,broken clouds,75
madimba,-23.35,77.52,76,6.88,scattered clouds,29
ranong,25.91,57.07,62,17.22,overcast clouds,90
koboldo,39.75,50.0,76,16.11,broken clouds,75
goderich,65.11,37.58,84,2.97,overcast clouds,100
saint-augustin,35.5,76.48,100,12.75,moderate rain,90
khani,53.25,48.81,95,4.53,light rain,100
atar,64.9,37.27,93,10.32,overcast clouds,100
sabha,30.8,70.36,61,4.37,overcast clouds,89
altay,45.81,49.5,92,6.44,broken clouds,65
aripuana,27.32,44.98,75,5.88,broken clouds,53
quang ngai,40.21,61.0,100,9.17,light intensity shower rain,75
hay river,25.21,81.93,71,3.5,clear sky,0
nantucket,52.47,38.53,29,3.94,clear sky,0
nenjiang,22.9,77.11,87,6.88,clear sky,0
tandil,40.21,66.2,82,16.11,scattered clouds,40
komsomolskoye,71.0,30.2,92,2.24,scattered clouds,40
dongsheng,-7.94,86.63,52,14.7,overcast clouds,96
sinnamary,32.48,46.44,39,4.7,scattered clouds,40
hailar,27.91,38.95,63,9.81,broken clouds,63
kasempa,43.61,49.19,71,3.47,overcast clouds,90
puerto ayacucho,49.91,50.11,64,14.62,overcast clouds,99
bilibino,49.78,48.2,72,10.29,clear sky,1
kothapet,4.95,75.34,92,10.14,moderate rain,100
chalon-sur-saone,-14.1,76.6,41,2.27,scattered clouds,35
puerto madryn,63.87,38.3,93,3.36,broken clouds,75
araouane,60.72,36.84,64,17.22,overcast clouds,90
rincon,3.38,78.3,70,8.08,clear sky,8
scarborough,7.96,70.61,98,3.88,light rain,93
kaniama,5.97,85.96,65,5.83,broken clouds,57
san juan,37.72,60.69,72,10.29,few clouds,20
susaki,28.28,41.47,27,6.4,clear sky,0
smithers,-36.72,55.4,87,3.36,broken clouds,75
iqaluit,49.63,53.49,59,8.89,few clouds,12
sorvag,62.58,38.52,87,3.36,shower rain,75
vardo,30.69,82.4,58,3.36,haze,20
rantepao,18.22,80.73,74,1.12,few clouds,20
bouna,-2.67,84.18,73,9.98,light rain,60
port blair,29.3,74.61,57,8.59,overcast clouds,87
labuan,-21.05,69.64,67,5.76,overcast clouds,100
vangaindrano,-37.84,64.76,45,5.82,broken clouds,75
brownsville,13.22,82.4,74,8.05,few clouds,20
sivas,60.56,47.66,94,11.28,moderate rain,100
kozhva,63.9,23.22,78,13.71,overcast clouds,100
zama,-40.81,62.53,42,17.31,overcast clouds,98
alekseyevka,18.62,74.16,89,1.86,overcast clouds,100
olafsvik,14.53,74.43,35,5.87,few clouds,11
leshukonskoye,5.88,77.0,94,5.82,thunderstorm,75
wanxian,41.89,59.02,87,2.24,broken clouds,75
sibenik,71.03,34.39,94,6.91,light snow,100
ocampo,30.78,41.61,66,8.98,clear sky,0
noshiro,-23.87,72.45,63,7.76,clear sky,0
ormara,27.91,69.49,73,8.05,broken clouds,75
toora-khem,33.0,72.28,53,21.92,broken clouds,75
bahia honda,47.61,48.83,78,11.77,overcast clouds,100
karacabey,36.66,68.32,94,24.16,heavy intensity rain,75
havoysund,24.19,72.07,70,3.62,overcast clouds,90
srandakan,5.68,73.8,94,1.57,overcast clouds,91
midlothian,-11.69,61.84,89,10.36,clear sky,5
gasa,45.25,52.95,54,10.25,light rain,100
rutland,56.39,51.98,89,16.69,moderate rain,100
horodkivka,43.56,55.71,87,5.82,clear sky,3
zakharo,-18.93,55.36,69,3.21,clear sky,0
chapais,60.89,17.96,87,8.95,light snow,100
sassandra,-2.79,71.91,96,3.16,few clouds,16
iaciara,69.65,18.63,85,11.41,clear sky,0
straumen,-4.07,72.48,75,2.0,overcast clouds,98
whitehorse,70.03,36.27,67,12.82,clear sky,0
lethem,51.71,38.37,45,13.62,clear sky,0
monte cristi,6.3,75.2,91,5.22,moderate rain,96
seguela,27.38,57.38,86,4.71,light rain,29
weligama,58.45,38.28,35,9.31,few clouds,21
vila franca do campo,29.0,86.2,51,4.7,haze,0
gamba,49.1,29.66,86,1.46,clear sky,1
talcahuano,-22.12,63.0,87,5.99,clear sky,0
abay,-9.07,68.68,96,2.15,broken clouds,65
mullaitivu,33.01,50.56,81,8.05,clear sky,1
roald,53.14,47.88,57,13.43,overcast clouds,100
ginda,50.56,33.35,99,3.0,snow,100
the valley,38.03,24.66,24,4.7,clear sky,1
vanimo,48.95,53.82,93,9.17,broken clouds,75
palabuhanratu,21.32,81.09,65,14.99,scattered clouds,40
guozhen,4.14,81.32,76,8.42,overcast clouds,100
chiredzi,26.33,87.8,35,3.36,clear sky,0
olinda,-14.9,76.42,77,12.61,light rain,12
bathsheba,53.59,36.1,57,18.95,light snow,98
sosnovo,-35.17,60.01,89,12.71,clear sky,5
kysyl-syr,22.69,85.66,46,2.55,clear sky,0
viedma,-8.65,86.0,70,10.29,few clouds,20
coahuayana,23.99,61.0,81,10.0,moderate rain,100
sadat,37.37,69.01,92,3.0,light rain,100
buchanan,52.0,62.8,40,7.25,clear sky,0
roma,37.77,41.07,100,5.82,clear sky,1
mehamn,65.54,39.07,86,6.93,light intensity shower rain,100
lata,-16.92,83.77,65,8.05,scattered clouds,40
inhambane,-0.28,71.37,95,1.39,light rain,82
aguimes,20.77,87.53,62,8.27,light rain,87
tara,42.56,59.0,67,12.75,broken clouds,75
burgeo,-17.91,69.8,56,6.93,overcast clouds,90
tateyama,2.43,83.82,65,4.86,light rain,78
xingyi,7.74,68.54,99,2.15,light rain,82
adeje,7.3,71.82,97,3.16,overcast clouds,100
canarana,31.76,68.04,92,9.84,clear sky,5
warqla,51.41,60.69,41,1.42,clear sky,0
saryshagan,60.47,36.36,83,17.64,overcast clouds,99
ushtobe,69.22,30.2,86,8.05,overcast clouds,100
zilupe,-34.85,71.76,27,10.29,scattered clouds,41
saint-joseph,9.49,80.87,73,1.37,light rain,73
paredon,45.1,51.28,51,2.06,few clouds,19
amga,25.33,85.91,36,5.13,clear sky,0
baiao,13.22,90.68,59,5.82,scattered clouds,40
tromso,45.62,56.07,54,10.2,clear sky,0
mangai,-16.35,72.21,83,3.31,overcast clouds,100
skjervoy,-32.49,83.91,18,11.41,scattered clouds,48
katangli,-17.48,73.4,49,3.36,overcast clouds,94
cravo norte,1.28,89.64,66,2.24,shower rain,75
khandbari,51.81,48.07,68,1.75,overcast clouds,100
yeniseysk,42.97,54.97,39,9.12,clear sky,0
sonipat,25.86,84.7,56,9.0,scattered clouds,34
creston,48.68,56.84,57,10.96,broken clouds,62
tubruq,33.11,42.24,65,3.32,clear sky,1
henties bay,24.63,89.6,19,5.82,clear sky,0
sena madureira,50.38,40.57,40,2.48,clear sky,0
cameta,29.55,93.13,19,2.04,clear sky,0
svetlogorsk,-38.6,62.04,61,11.25,scattered clouds,38
husavik,46.84,28.71,79,10.29,clear sky,1
lake city,58.9,48.49,93,9.17,overcast clouds,90
saint-pierre,-20.37,74.35,46,9.38,few clouds,13
khonuu,53.74,30.24,35,13.02,clear sky,0
ewa beach,61.6,44.17,100,3.36,light intensity shower rain,100
meulaboh,51.67,29.8,61,12.41,few clouds,11
buraydah,-37.72,51.73,76,3.29,light rain,100
antalaha,-13.3,70.65,71,9.11,light rain,97
okha,9.08,73.65,94,3.04,broken clouds,77
ahipara,8.58,95.76,44,2.74,clear sky,10
coulihaut,13.43,72.93,93,2.21,light rain,86
ibra,5.43,73.4,100,2.15,light rain,75
denpasar,53.05,50.14,55,13.32,overcast clouds,100
constitucion,-8.49,84.47,65,11.58,broken clouds,84
